Dates,PX_LAST,CURRENT_CONTRACT_MONTH_YR,PX_LAST,CURRENT_CONTRACT_MONTH_YR,PX_LAST,CURRENT_CONTRACT_MONTH_YR
4/7/2017,424,MAY 17,421.75,MAY 17,518.25,MAY 17
3/31/2017,426.5,MAY 17,420.5,MAY 17,534.25,MAY 17
3/24/2017,424.75,MAY 17,428,MAY 17,535.75,MAY 17
3/17/2017,436.25,MAY 17,453.5,MAY 17,549,MAY 17
3/10/2017,422.75,MAR 17,445.25,MAR 17,536,MAR 17
3/3/2017,433.75,MAR 17,462,MAR 17,537,MAR 17
2/24/2017,431.25,MAR 17,453.75,MAR 17,544.75,MAR 17
2/17/2017,441,MAR 17,456.25,MAR 17,546.25,MAR 17
2/10/2017,449,MAR 17,460.5,MAR 17,572.5,MAR 17
2/3/2017,430.25,MAR 17,440.5,MAR 17,558.25,MAR 17
1/27/2017,420.5,MAR 17,434.25,MAR 17,560,MAR 17
1/20/2017,428.25,MAR 17,443,MAR 17,568.5,MAR 17
1/13/2017,426,MAR 17,449,MAR 17,582.75,MAR 17
1/6/2017,423.25,MAR 17,433.5,MAR 17,552.75,MAR 17
12/30/2016,408,MAR 17,418.5,MAR 17,538,MAR 17
12/23/2016,393.5,MAR 17,406.25,MAR 17,530.75,MAR 17
12/16/2016,409.25,MAR 17,414.75,MAR 17,544.25,MAR 17
12/9/2016,400.25,DEC 16,395.5,DEC 16,536,DEC 16
12/2/2016,387.5,DEC 16,390,DEC 16,543,DEC 16
11/25/2016,395.75,DEC 16,411.25,DEC 16,534.25,DEC 16
11/18/2016,408,DEC 16,413.75,DEC 16,529.25,DEC 16
11/11/2016,403,DEC 16,410.25,DEC 16,520,DEC 16
11/4/2016,414.25,DEC 16,411.5,DEC 16,510.25,DEC 16
10/28/2016,408.5,DEC 16,411.25,DEC 16,524.5,DEC 16
10/21/2016,414.5,DEC 16,421.5,DEC 16,529,DEC 16
10/14/2016,421,DEC 16,417.75,DEC 16,528.5,DEC 16
10/7/2016,394.75,DEC 16,403,DEC 16,522,DEC 16
9/30/2016,402,DEC 16,415.5,DEC 16,514.5,DEC 16
9/23/2016,404.75,DEC 16,421.5,DEC 16,503.75,DEC 16
9/16/2016,403.25,DEC 16,417.25,DEC 16,492.75,DEC 16
9/9/2016,376,SEP 16,393.5,SEP 16,498.5,SEP 16
9/2/2016,373.25,SEP 16,386.5,SEP 16,496.25,SEP 16
8/26/2016,383.5,SEP 16,389.75,SEP 16,492.5,SEP 16
8/19/2016,427,SEP 16,418.75,SEP 16,530.75,SEP 16
8/12/2016,422.5,SEP 16,416.25,SEP 16,513.75,SEP 16
8/5/2016,416,SEP 16,411.75,SEP 16,495,SEP 16
7/29/2016,407.75,SEP 16,409.75,SEP 16,488.25,SEP 16
7/22/2016,425.25,SEP 16,419,SEP 16,495.25,SEP 16
7/15/2016,424.75,SEP 16,413.75,SEP 16,496.75,SEP 16
7/8/2016,420.75,JUL 16,405.25,JUL 16,497.75,JUL 16
7/1/2016,416.25,JUL 16,394.25,JUL 16,489.25,JUL 16
6/24/2016,454.75,JUL 16,422.75,JUL 16,517.75,JUL 16
6/17/2016,481.25,JUL 16,460.75,JUL 16,539.75,JUL 16
6/10/2016,495,JUL 16,468.5,JUL 16,538.5,JUL 16
6/3/2016,497.25,JUL 16,474,JUL 16,539.5,JUL 16
5/27/2016,481.5,JUL 16,459.75,JUL 16,528,JUL 16
